Numer pomiaru ; Numer pomiaru instancji ; Próba badawcza ; Liczba wierzcho³ków ; Czas[ms] 
38;1;1 do 10 000 000;3;0.014
38;2;1 do 10 000 000;3;0.0138
38;3;1 do 10 000 000;3;0.0138
38;4;1 do 10 000 000;3;0.0137
38;5;1 do 10 000 000;3;0.0146
39;1;1 do 10;3;0.0158
39;2;1 do 10;3;0.0145
39;3;1 do 10;3;0.0137
39;4;1 do 10;3;0.0133
39;5;1 do 10;3;0.0141
39;1;1 do 10 000;3;0.0133
39;2;1 do 10 000;3;0.0135
39;3;1 do 10 000;3;0.0134
39;4;1 do 10 000;3;0.0136
39;5;1 do 10 000;3;0.0136
39;1;1 do 10 000 000;3;0.0137
39;2;1 do 10 000 000;3;0.0137
39;3;1 do 10 000 000;3;0.0138
39;4;1 do 10 000 000;3;0.015
39;5;1 do 10 000 000;3;0.0139
40;1;1 do 10;3;0.0163
40;2;1 do 10;3;0.0158
40;3;1 do 10;3;0.016
40;4;1 do 10;3;0.0158
40;5;1 do 10;3;0.0143
40;1;1 do 10 000;3;0.0146
40;2;1 do 10 000;3;0.0143
40;3;1 do 10 000;3;0.0167
40;4;1 do 10 000;3;0.0139
40;5;1 do 10 000;3;0.0144
40;1;1 do 10 000 000;3;0.0138
40;2;1 do 10 000 000;3;0.0143
40;3;1 do 10 000 000;3;0.0173
40;4;1 do 10 000 000;3;0.0149
40;5;1 do 10 000 000;3;0.0144
41;1;1 do 10;3;0.0395
41;2;1 do 10;3;0.0179
41;3;1 do 10;3;0.0153
41;4;1 do 10;3;0.0152
41;5;1 do 10;3;0.0146
41;1;1 do 10 000;3;0.0141
41;2;1 do 10 000;3;0.0161
41;3;1 do 10 000;3;0.0135
41;4;1 do 10 000;3;0.0139
41;5;1 do 10 000;3;0.0134
41;1;1 do 10 000 000;3;0.0137
41;2;1 do 10 000 000;3;0.0141
41;3;1 do 10 000 000;3;0.0137
41;4;1 do 10 000 000;3;0.0136
41;5;1 do 10 000 000;3;0.0132
42;1;1 do 10;3;0.0175
42;2;1 do 10;3;0.0143
42;3;1 do 10;3;0.0135
42;4;1 do 10;3;0.0165
42;5;1 do 10;3;0.0138
42;1;1 do 10 000;3;0.0144
42;2;1 do 10 000;3;0.0153
42;3;1 do 10 000;3;0.0144
42;4;1 do 10 000;3;0.0143
42;5;1 do 10 000;3;0.0157
42;1;1 do 10 000 000;3;0.0139
42;2;1 do 10 000 000;3;0.0139
42;3;1 do 10 000 000;3;0.015
42;4;1 do 10 000 000;3;0.0139
42;5;1 do 10 000 000;3;0.0147
43;1;1 do 10;3;0.0171
43;2;1 do 10;3;0.0179
43;3;1 do 10;3;0.014
43;4;1 do 10;3;0.0141
43;5;1 do 10;3;0.0131
43;1;1 do 10 000;3;0.013
43;2;1 do 10 000;3;0.0136
43;3;1 do 10 000;3;0.0133
43;4;1 do 10 000;3;0.0136
43;5;1 do 10 000;3;0.0133
43;1;1 do 10 000 000;3;0.0213
43;2;1 do 10 000 000;3;0.0132
43;3;1 do 10 000 000;3;0.0139
43;4;1 do 10 000 000;3;0.0132
43;5;1 do 10 000 000;3;0.0133
44;1;1 do 10;3;0.0157
44;2;1 do 10;3;0.014
44;3;1 do 10;3;0.0143
44;4;1 do 10;3;0.0137
44;5;1 do 10;3;0.0135
44;1;1 do 10 000;3;0.013
44;2;1 do 10 000;3;0.0143
44;3;1 do 10 000;3;0.0133
44;4;1 do 10 000;3;0.0132
44;5;1 do 10 000;3;0.0136
44;1;1 do 10 000 000;3;0.0131
44;2;1 do 10 000 000;3;0.0141
44;3;1 do 10 000 000;3;0.0131
44;4;1 do 10 000 000;3;0.0134
44;5;1 do 10 000 000;3;0.0133
45;1;1 do 10;3;0.0164
45;2;1 do 10;3;0.0143
45;3;1 do 10;3;0.0139
45;4;1 do 10;3;0.0141
45;5;1 do 10;3;0.0135
45;1;1 do 10 000;3;0.0138
45;2;1 do 10 000;3;0.0136
45;3;1 do 10 000;3;0.0131
45;4;1 do 10 000;3;0.0137
45;5;1 do 10 000;3;0.0141
45;1;1 do 10 000 000;3;0.0135
45;2;1 do 10 000 000;3;0.0132
45;3;1 do 10 000 000;3;0.0136
45;4;1 do 10 000 000;3;0.0132
45;5;1 do 10 000 000;3;0.0142
46;1;1 do 10;3;0.0158
46;2;1 do 10;3;0.0148
46;3;1 do 10;3;0.0139
46;4;1 do 10;3;0.0145
46;5;1 do 10;3;0.0143
46;1;1 do 10 000;3;0.0133
46;2;1 do 10 000;3;0.0138
46;3;1 do 10 000;3;0.0133
46;4;1 do 10 000;3;0.0138
46;5;1 do 10 000;3;0.0133
46;1;1 do 10 000 000;3;0.0133
46;2;1 do 10 000 000;3;0.0153
46;3;1 do 10 000 000;3;0.0134
46;4;1 do 10 000 000;3;0.0142
46;5;1 do 10 000 000;3;0.0134
47;1;1 do 10;3;0.0249
47;2;1 do 10;3;0.0152
47;3;1 do 10;3;0.0153
47;4;1 do 10;3;0.0149
47;5;1 do 10;3;0.0143
47;1;1 do 10 000;3;0.0147
47;2;1 do 10 000;3;0.0147
47;3;1 do 10 000;3;0.0149
47;4;1 do 10 000;3;0.0137
47;5;1 do 10 000;3;0.0141
47;1;1 do 10 000 000;3;0.0135
47;2;1 do 10 000 000;3;0.0137
47;3;1 do 10 000 000;3;0.0139
47;4;1 do 10 000 000;3;0.0143
47;5;1 do 10 000 000;3;0.0179
48;1;1 do 10;3;0.02
48;2;1 do 10;3;0.0167
48;3;1 do 10;3;0.0198
48;4;1 do 10;3;0.0161
48;5;1 do 10;3;0.015
48;1;1 do 10 000;3;0.0151
48;2;1 do 10 000;3;0.0142
48;3;1 do 10 000;3;0.0137
48;4;1 do 10 000;3;0.0136
48;5;1 do 10 000;3;0.0147
48;1;1 do 10 000 000;3;0.0149
48;2;1 do 10 000 000;3;0.014
48;3;1 do 10 000 000;3;0.0141
48;4;1 do 10 000 000;3;0.0139
48;5;1 do 10 000 000;3;0.0137
49;1;1 do 10;3;0.1144
49;2;1 do 10;3;0.0157
49;3;1 do 10;3;0.0148
49;4;1 do 10;3;0.0137
49;5;1 do 10;3;0.0143
49;1;1 do 10 000;3;0.0136
